FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
,,,,,,,,,,,,,,,
-7.0,40.0,-38.0,22.0,10.0,-13.0,32.0,-11.0,-11.0,2.0,-9.0,-2.0,52.0,22.0,-110.0,15.0
16.0,63.0,-86.0,85.0,8.0,-28.0,85.0,13.0,-32.0,-15.0,2.0,26.0,0.0,-11.0,-6.0,-3.0
7.0,18.0,-33.0,44.0,17.0,-29.0,10.0,38.0,-18.0,-38.0,15.0,34.0,-17.0,-68.0,85.0,-8.0
5.0,-76.0,52.0,-65.0,6.0,-11.0,-69.0,-9.0,0.0,-12.0,-10.0,25.0,-43.0,-19.0,44.0,19.0
-29.0,-57.0,65.0,-79.0,6.0,-3.0,-82.0,-21.0,-5.0,36.0,-17.0,-11.0,17.0,34.0,-72.0,25.0
-14.0,29.0,-22.0,19.0,8.0,3.0,-3.0,4.0,-9.0,19.0,-4.0,-20.0,41.0,48.0,-114.0,11.0
20.0,69.0,-79.0,87.0,18.0,-26.0,97.0,9.0,-10.0,-23.0,5.0,25.0,-3.0,14.0,-21.0,6.0
13.0,22.0,-35.0,53.0,8.0,-27.0,46.0,25.0,-14.0,-33.0,11.0,42.0,-40.0,-40.0,83.0,2.0
-21.0,-51.0,57.0,-42.0,11.0,-20.0,-63.0,15.0,-15.0,-3.0,9.0,17.0,-30.0,-38.0,64.0,12.0
-15.0,-69.0,74.0,-83.0,-4.0,7.0,-74.0,-23.0,7.0,32.0,-11.0,-5.0,22.0,28.0,-54.0,27.0
-18.0,15.0,-1.0,2.0,-1.0,-5.0,14.0,-9.0,-6.0,26.0,-6.0,-12.0,34.0,56.0,-105.0,17.0
1.0,76.0,-73.0,93.0,17.0,-32.0,85.0,27.0,-17.0,-5.0,10.0,11.0,10.0,21.0,-37.0,5.0
20.0,33.0,-45.0,61.0,24.0,-33.0,64.0,14.0,-24.0,-22.0,9.0,49.0,-29.0,-36.0,67.0,9.0
-9.0,-52.0,47.0,-40.0,11.0,-20.0,-45.0,-2.0,-29.0,-14.0,6.0,32.0,-43.0,-50.0,72.0,16.0
-29.0,-71.0,77.0,-80.0,2.0,-8.0,-89.0,-8.0,-12.0,14.0,0.0,-8.0,-6.0,12.0,-34.0,21.0
-15.0,9.0,5.0,-21.0,6.0,5.0,-7.0,-24.0,4.0,17.0,-20.0,-9.0,39.0,43.0,-114.0,25.0
2.0,76.0,-76.0,80.0,11.0,-25.0,83.0,13.0,-14.0,-8.0,4.0,14.0,31.0,15.0,-53.0,3.0
11.0,47.0,-58.0,80.0,21.0,-46.0,66.0,37.0,-41.0,-17.0,18.0,40.0,-24.0,-24.0,56.0,-7.0
-11.0,-34.0,34.0,-32.0,24.0,-22.0,-42.0,-3.0,-60.0,12.0,8.0,42.0,-35.0,-57.0,83.0,10.0
-40.0,-65.0,81.0,-86.0,3.0,-10.0,-90.0,-13.0,-6.0,7.0,-9.0,1.0,-13.0,4.0,-17.0,20.0
-8.0,-10.0,17.0,-22.0,-2.0,9.0,-28.0,-2.0,14.0,4.0,-13.0,-20.0,30.0,40.0,-104.0,20.0
6.0,64.0,-64.0,69.0,13.0,-22.0,78.0,5.0,-9.0,-6.0,-9.0,17.0,25.0,24.0,-69.0,13.0
10.0,56.0,-69.0,84.0,12.0,-29.0,66.0,32.0,-31.0,-35.0,13.0,43.0,-23.0,-41.0,56.0,-1.0
-9.0,-23.0,24.0,-9.0,13.0,-21.0,-32.0,23.0,-21.0,-21.0,11.0,34.0,-40.0,-53.0,89.0,7.0
-25.0,-75.0,86.0,-89.0,11.0,-10.0,-80.0,-23.0,-17.0,12.0,-11.0,13.0,-9.0,-16.0,-3.0,25.0
-21.0,-13.0,27.0,-34.0,-4.0,15.0,-40.0,-10.0,-4.0,21.0,-12.0,-14.0,27.0,43.0,-102.0,22.0
-4.0,65.0,-64.0,72.0,8.0,-23.0,56.0,27.0,-5.0,-6.0,1.0,-2.0,15.0,42.0,-71.0,2.0
31.0,62.0,-77.0,83.0,11.0,-20.0,85.0,23.0,-25.0,-24.0,12.0,44.0,-41.0,0.0,45.0,3.0
8.0,-27.0,7.0,-3.0,6.0,-21.0,-19.0,19.0,-24.0,-17.0,12.0,38.0,-16.0,-76.0,94.0,6.0
-30.0,-69.0,83.0,-75.0,7.0,-12.0,-90.0,4.0,-28.0,25.0,9.0,2.0,-9.0,-11.0,12.0,15.0
