FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
,,,,,,,,,,,,,,,
111.0,37.0,0.0,186.0,149.0,-37.0,0.0,223.0,-112.0,111.0,0.0,-111.0,-112.0,74.0,260.0,-334.0
74.0,74.0,-37.0,223.0,223.0,-37.0,0.0,148.0,148.0,-37.0,185.0,-111.0,223.0,-185.0,37.0,112.0
74.0,74.0,-148.0,297.0,186.0,148.0,-185.0,148.0,148.0,37.0,260.0,-259.0,222.0,-223.0,-37.0,223.0
37.0,148.0,-148.0,0.0,186.0,37.0,75.0,-260.0,37.0,74.0,-37.0,-37.0,-112.0,222.0,-222.0,148.0
186.0,111.0,-223.0,186.0,297.0,-223.0,260.0,-74.0,-259.0,110.0,-185.0,37.0,-408.0,371.0,-371.0,111.0
149.0,75.0,-112.0,223.0,260.0,-185.0,111.0,149.0,-74.0,37.0,-148.0,-74.0,-111.0,75.0,-112.0,-111.0
148.0,75.0,-112.0,223.0,185.0,-37.0,0.0,186.0,37.0,-37.0,148.0,-148.0,260.0,-260.0,223.0,-222.0
0.0,149.0,-297.0,334.0,37.0,-74.0,-37.0,260.0,111.0,-111.0,259.0,-185.0,-111.0,186.0,112.0,-112.0
75.0,37.0,149.0,334.0,260.0,37.0,-149.0,446.0,74.0,-111.0,260.0,-446.0,74.0,-111.0,334.0,-520.0
74.0,37.0,112.0,223.0,149.0,111.0,-74.0,260.0,186.0,-148.0,297.0,-223.0,372.0,-483.0,186.0,37.0
75.0,37.0,-74.0,260.0,75.0,149.0,-112.0,186.0,-37.0,260.0,37.0,-112.0,223.0,-372.0,-74.0,372.0
-37.0,111.0,-37.0,0.0,186.0,-37.0,112.0,-224.0,-186.0,335.0,-260.0,223.0,-223.0,223.0,-297.0,409.0
112.0,186.0,-186.0,148.0,483.0,-372.0,186.0,-38.0,-409.0,224.0,-298.0,297.0,-446.0,409.0,-483.0,334.0
149.0,111.0,-223.0,408.0,334.0,-334.0,149.0,297.0,-149.0,-37.0,0.0,-38.0,-74.0,74.0,-74.0,-150.0
