FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
,,,,,,,,,,,,,,,
500.0,148.0,-817.0,164.0,-248.0,456.0,-153.0,-59.0,-72.0,-3846.0,3466.0,28.0,-224.0,-2814.0,2739.0,-125.0
467.0,84.0,-714.0,115.0,-238.0,409.0,-202.0,-16.0,-51.0,-3765.0,3422.0,71.0,-166.0,-2757.0,2625.0,-24.0
411.0,-3.0,-577.0,4.0,-198.0,353.0,-233.0,-87.0,66.0,-3560.0,3175.0,179.0,-59.0,-2687.0,2496.0,110.0
332.0,-76.0,-440.0,-168.0,-148.0,306.0,-269.0,-242.0,243.0,-3276.0,2818.0,297.0,81.0,-2605.0,2361.0,243.0
235.0,-107.0,-323.0,-366.0,-102.0,272.0,-327.0,-405.0,431.0,-3001.0,2506.0,365.0,229.0,-2515.0,2220.0,367.0
128.0,-86.0,-235.0,-546.0,-65.0,245.0,-399.0,-520.0,594.0,-2782.0,2315.0,362.0,363.0,-2432.0,2091.0,467.0
35.0,-33.0,-182.0,-652.0,-39.0,208.0,-453.0,-548.0,692.0,-2629.0,2229.0,302.0,447.0,-2367.0,1992.0,522.0
-24.0,22.0,-171.0,-646.0,-36.0,156.0,-459.0,-479.0,707.0,-2550.0,2201.0,225.0,444.0,-2309.0,1910.0,538.0
-47.0,51.0,-181.0,-554.0,53.0,0.0,-431.0,-353.0,652.0,-2525.0,2187.0,170.0,363.0,-2240.0,1819.0,542.0
-44.0,39.0,-147.0,-463.0,490.0,-459.0,-401.0,-245.0,556.0,-2491.0,2140.0,152.0,267.0,-2166.0,1722.0,534.0
-9.0,-12.0,-15.0,-446.0,1211.0,-1103.0,-383.0,-208.0,447.0,-2386.0,2035.0,158.0,218.0,-2109.0,1652.0,492.0
59.0,-75.0,193.0,-505.0,1719.0,-1444.0,-370.0,-232.0,353.0,-2205.0,1887.0,167.0,237.0,-2072.0,1613.0,424.0
136.0,-123.0,424.0,-601.0,1782.0,-1313.0,-363.0,-270.0,301.0,-1980.0,1714.0,180.0,314.0,-2045.0,1570.0,375.0
181.0,-150.0,646.0,-711.0,1507.0,-887.0,-361.0,-294.0,306.0,-1761.0,1526.0,220.0,419.0,-2022.0,1507.0,388.0
179.0,-171.0,832.0,-817.0,956.0,-272.0,-350.0,-310.0,361.0,-1621.0,1351.0,313.0,499.0,-1992.0,1425.0,473.0
144.0,-78.0,831.0,-883.0,311.0,340.0,-320.0,-317.0,438.0,-1612.0,1229.0,449.0,497.0,-1934.0,1336.0,606.0
97.0,390.0,370.0,-873.0,-57.0,614.0,-280.0,-293.0,501.0,-1713.0,1179.0,586.0,401.0,-1842.0,1260.0,733.0
58.0,1156.0,-457.0,-784.0,-14.0,459.0,-249.0,-223.0,501.0,-1841.0,1207.0,671.0,262.0,-1742.0,1218.0,800.0
32.0,1706.0,-1109.0,-650.0,175.0,171.0,-243.0,-124.0,424.0,-1938.0,1330.0,664.0,141.0,-1668.0,1223.0,784.0
17.0,1799.0,-1328.0,-507.0,201.0,79.0,-266.0,-34.0,311.0,-2004.0,1538.0,568.0,78.0,-1636.0,1263.0,708.0
26.0,1539.0,-1208.0,-380.0,48.0,200.0,-311.0,40.0,198.0,-2038.0,1771.0,436.0,74.0,-1626.0,1295.0,624.0
50.0,975.0,-761.0,-292.0,-90.0,331.0,-367.0,97.0,93.0,-2032.0,1960.0,317.0,96.0,-1612.0,1291.0,563.0
57.0,253.0,-111.0,-249.0,-93.0,336.0,-410.0,117.0,31.0,-2001.0,2064.0,233.0,127.0,-1592.0,1272.0,520.0
60.0,-257.0,362.0,-228.0,-8.0,251.0,-411.0,104.0,23.0,-1946.0,2059.0,197.0,157.0,-1571.0,1256.0,491.0
71.0,-328.0,432.0,-220.0,42.0,194.0,-379.0,97.0,25.0,-1875.0,1976.0,198.0,156.0,-1531.0,1226.0,474.0
70.0,-134.0,266.0,-228.0,8.0,221.0,-361.0,106.0,15.0,-1822.0,1896.0,198.0,123.0,-1474.0,1181.0,458.0
57.0,-17.0,173.0,-239.0,-47.0,276.0,-368.0,113.0,6.0,-1792.0,1857.0,184.0,97.0,-1425.0,1140.0,444.0
49.0,-82.0,240.0,-243.0,-61.0,294.0,-379.0,112.0,2.0,-1758.0,1828.0,174.0,93.0,-1391.0,1109.0,436.0
49.0,-171.0,326.0,-244.0,-42.0,274.0,-377.0,105.0,7.0,-1715.0,1781.0,173.0,95.0,-1362.0,1084.0,430.0
50.0,-162.0,305.0,-236.0,-21.0,246.0,-361.0,93.0,24.0,-1676.0,1726.0,175.0,99.0,-1336.0,1065.0,420.0
55.0,-99.0,218.0,-218.0,-9.0,225.0,-340.0,81.0,44.0,-1641.0,1679.0,174.0,112.0,-1316.0,1053.0,408.0
61.0,-78.0,171.0,-198.0,-10.0,218.0,-325.0,74.0,52.0,-1602.0,1644.0,171.0,128.0,-1298.0,1037.0,397.0
66.0,-114.0,190.0,-188.0,-26.0,226.0,-316.0,69.0,46.0,-1556.0,1602.0,169.0,129.0,-1271.0,1014.0,389.0
76.0,-160.0,208.0,-182.0,-53.0,229.0,-290.0,56.0,42.0,-1507.0,1520.0,173.0,94.0,-1225.0,991.0,369.0
102.0,-190.0,168.0,-155.0,-74.0,202.0,-229.0,26.0,49.0,-1458.0,1380.0,186.0,13.0,-1164.0,984.0,324.0
138.0,-205.0,81.0,-100.0,-85.0,154.0,-143.0,-10.0,52.0,-1408.0,1213.0,198.0,-95.0,-1104.0,1004.0,250.0
164.0,-202.0,-13.0,-34.0,-104.0,126.0,-72.0,-35.0,37.0,-1355.0,1064.0,199.0,-199.0,-1063.0,1045.0,161.0
166.0,-174.0,-95.0,15.0,-151.0,142.0,-43.0,-38.0,14.0,-1311.0,965.0,185.0,-270.0,-1043.0,1093.0,73.0
140.0,-130.0,-150.0,32.0,-203.0,175.0,-53.0,-26.0,6.0,-1298.0,930.0,163.0,-293.0,-1041.0,1128.0,7.0
93.0,-92.0,-157.0,27.0,-219.0,172.0,-79.0,-3.0,27.0,-1331.0,956.0,144.0,-270.0,-1048.0,1137.0,-24.0
34.0,-78.0,-124.0,11.0,-207.0,121.0,-90.0,20.0,68.0,-1394.0,1011.0,136.0,-231.0,-1045.0,1117.0,-21.0
-8.0,-89.0,-86.0,-8.0,-211.0,65.0,-69.0,26.0,115.0,-1445.0,1034.0,144.0,-213.0,-1013.0,1067.0,7.0
-3.0,-120.0,-71.0,-19.0,-239.0,45.0,-20.0,2.0,146.0,-1445.0,990.0,166.0,-232.0,-955.0,999.0,44.0
41.0,-158.0,-72.0,-10.0,-253.0,54.0,29.0,-29.0,135.0,-1384.0,907.0,183.0,-276.0,-894.0,944.0,66.0
91.0,-184.0,-73.0,17.0,-222.0,68.0,42.0,-37.0,80.0,-1275.0,833.0,178.0,-310.0,-854.0,923.0,57.0
117.0,-177.0,-79.0,39.0,-166.0,81.0,6.0,-21.0,15.0,-1149.0,785.0,154.0,-302.0,-848.0,931.0,24.0
114.0,-127.0,-105.0,41.0,-132.0,102.0,-50.0,1.0,-15.0,-1066.0,768.0,128.0,-253.0,-867.0,948.0,-13.0
79.0,-59.0,-136.0,25.0,-144.0,124.0,-87.0,17.0,2.0,-1071.0,794.0,109.0,-198.0,-891.0,958.0,-35.0
23.0,-23.0,-134.0,4.0,-189.0,122.0,-89.0,26.0,45.0,-1147.0,854.0,99.0,-167.0,-891.0,944.0,-34.0
-19.0,-58.0,-84.0,-17.0,-223.0,87.0,-61.0,20.0,91.0,-1217.0,890.0,101.0,-168.0,-850.0,894.0,-12.0
-13.0,-142.0,-17.0,-30.0,-218.0,35.0,-13.0,-7.0,118.0,-1217.0,850.0,118.0,-195.0,-780.0,820.0,22.0
31.0,-206.0,14.0,-23.0,-188.0,3.0,38.0,-36.0,105.0,-1147.0,757.0,137.0,-239.0,-714.0,762.0,44.0
78.0,-202.0,-11.0,4.0,-164.0,20.0,56.0,-44.0,53.0,-1040.0,674.0,140.0,-274.0,-681.0,745.0,38.0
