FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
,,,,,,,,,,,,,,,
-343.0,379.0,-190.0,-220.0,-720.0,273.0,365.0,-291.0,-182.0,-197.0,333.0,-309.0,-346.0,205.0,633.0,-846.0
-255.0,271.0,77.0,-451.0,-664.0,282.0,282.0,-257.0,15.0,-309.0,383.0,-298.0,-185.0,216.0,355.0,-596.0
-132.0,183.0,217.0,-510.0,-536.0,346.0,92.0,-143.0,132.0,-310.0,405.0,-264.0,-3.0,168.0,359.0,-560.0
2.0,114.0,220.0,-407.0,-397.0,460.0,-145.0,12.0,175.0,-239.0,445.0,-270.0,171.0,89.0,360.0,-508.0
144.0,32.0,144.0,-211.0,-279.0,586.0,-350.0,151.0,171.0,-160.0,512.0,-323.0,300.0,-10.0,111.0,-202.0
291.0,-94.0,61.0,5.0,-182.0,690.0,-469.0,225.0,140.0,-102.0,566.0,-368.0,366.0,-118.0,-288.0,275.0
426.0,-253.0,22.0,173.0,-104.0,749.0,-475.0,199.0,103.0,-88.0,564.0,-331.0,370.0,-192.0,-552.0,622.0
533.0,-406.0,45.0,242.0,-36.0,748.0,-374.0,76.0,86.0,-128.0,499.0,-203.0,326.0,-183.0,-591.0,702.0
474.0,-512.0,113.0,213.0,-78.0,695.0,-242.0,-87.0,-23.0,-189.0,405.0,-50.0,124.0,-88.0,-560.0,667.0
-156.0,-525.0,172.0,131.0,-591.0,629.0,-224.0,-191.0,-626.0,-223.0,343.0,41.0,-617.0,52.0,-587.0,688.0
-1624.0,-435.0,168.0,56.0,-1852.0,588.0,-407.0,-164.0,-1865.0,-230.0,363.0,31.0,-1892.0,71.0,-622.0,743.0
-3634.0,-290.0,92.0,25.0,-3631.0,565.0,-720.0,-20.0,-3050.0,-265.0,466.0,-58.0,-2607.0,-436.0,-585.0,721.0
-5548.0,-143.0,-54.0,58.0,-5360.0,528.0,-1020.0,165.0,-3437.0,-370.0,618.0,-199.0,-1869.0,-1610.0,-388.0,477.0
-6583.0,-28.0,-268.0,163.0,-6287.0,459.0,-1188.0,300.0,-2989.0,-533.0,774.0,-367.0,-314.0,-2777.0,277.0,-302.0
-6134.0,24.0,-507.0,323.0,-5825.0,356.0,-1141.0,315.0,-1902.0,-706.0,871.0,-493.0,1148.0,-3223.0,1660.0,-1816.0
-4396.0,4.0,-706.0,492.0,-4165.0,225.0,-863.0,198.0,-440.0,-836.0,855.0,-492.0,2365.0,-3042.0,3545.0,-3781.0
-2197.0,-47.0,-823.0,612.0,-2097.0,85.0,-458.0,16.0,730.0,-873.0,728.0,-347.0,3114.0,-2645.0,5404.0,-5635.0
-380.0,-76.0,-829.0,632.0,-398.0,-27.0,-95.0,-133.0,1023.0,-793.0,536.0,-135.0,2904.0,-2110.0,6516.0,-6680.0
531.0,-69.0,-716.0,544.0,448.0,-84.0,116.0,-191.0,608.0,-619.0,338.0,42.0,1971.0,-1515.0,6248.0,-6336.0
566.0,-43.0,-518.0,390.0,470.0,-85.0,181.0,-172.0,140.0,-411.0,172.0,144.0,1333.0,-1254.0,4715.0,-4749.0
241.0,-17.0,-297.0,225.0,166.0,-54.0,157.0,-118.0,16.0,-219.0,53.0,168.0,1339.0,-1320.0,2698.0,-2698.0
44.0,-2.0,-108.0,83.0,4.0,-21.0,96.0,-62.0,110.0,-77.0,-12.0,120.0,1230.0,-1102.0,988.0,-975.0
